id,company,synthetic,category_verdict,status,qualification_score,estimated_opportunity,website,location,service_type,decision_makers,phone,email,contact_form_url,socials,score_breakdown,why,category_reason,estimated_opportunity_basis,data_completeness,provenance_complete,research_notes,source_provider,source_url,retrieved_at,scoring_config_version
mile-high-electric-contractors-sample-denver,Mile High Electric Contractors (SAMPLE),yes,ELECTRICAL,QUALIFIED,95,HIGH,https://example.com/mile-high-electric,"Denver, CO, USA",electrical contractor; commercial electrical; residential electrical,Sample Owner A (President),+1-303-555-0101,info@example.com,https://example.com/mile-high-electric/contact,https://example.com/social/milehigh,"core_electrical_category=30, commercial_electrical=10, established_website=10, service_area_match_full=10, contactable=10, business_maturity=15, decision_maker_identified=10",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | commercial_electrical +10: Offers commercial/industrial electrical services (higher-value work). | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +15: Size signals indicate an established business. | decision_maker_identified +10: A decision-maker is legitimately available.,"Electrical specialization found: commercial electrical, electric co, electrical contractor, residential electrical.","HIGH from 55 employees, 220 reviews, 20y in business",1.0,yes,"Obvious established electrical contractor, complete data.",fixture,https://example.com/mile-high-electric,2026-08-13T06:07:38+00:00,1.0.0
denver-commercial-electric-sample-denver,Denver Commercial Electric (SAMPLE),yes,ELECTRICAL,QUALIFIED,95,HIGH,https://example.com/denver-commercial-electric,"Denver, CO, USA",commercial electrical; industrial electrical; electrical contractor,Sample Exec C (VP Operations),+1-303-555-0103,sales@example.com,https://example.com/denver-commercial-electric/quote,,"core_electrical_category=30, commercial_electrical=10, established_website=10, service_area_match_full=10, contactable=10, business_maturity=15, decision_maker_identified=10",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | commercial_electrical +10: Offers commercial/industrial electrical services (higher-value work). | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +15: Size signals indicate an established business. | decision_maker_identified +10: A decision-maker is legitimately available.,"Electrical specialization found: commercial electrical, electrical contractor, industrial electrical.","HIGH from 90 employees, 180 reviews, 22y in business",1.0,yes,Large commercial/industrial electrical contractor.,fixture,https://example.com/denver-commercial-electric,2026-08-13T06:07:38+00:00,1.0.0
buildright-gc-electrical-division-sample-denver,BuildRight GC & Electrical Division (SAMPLE),yes,ELECTRICAL,QUALIFIED,83,HIGH,https://example.com/buildright,"Denver, CO, USA",general contractor; electrical contractor,Sample Exec D (Director of Electrical),+1-303-555-0111,info@example.com,https://example.com/buildright/contact,,"core_electrical_category=30, established_website=10, service_area_match_full=10, contactable=10, business_maturity=13, decision_maker_identified=10",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +13: Size signals indicate an established business. | decision_maker_identified +10: A decision-maker is legitimately available.,Electrical specialization found: electrical contractor. (Also lists non-electrical trades: general contractor.),"HIGH from 120 employees, 90 reviews, 25y in business",1.0,yes,General contractor WITH a dedicated electrical division — should still qualify.,fixture,https://example.com/buildright,2026-08-13T06:07:38+00:00,1.0.0
rocky-mountain-electric-co-sample-denver,Rocky Mountain Electric Co (SAMPLE),yes,ELECTRICAL,QUALIFIED,81,MEDIUM,https://example.com/rocky-mtn-electric,"Denver, CO, USA",electrical contractor; electrician,Sample Owner B (Founder),+1-303-555-0102,hello@example.com,,,"core_electrical_category=30, established_website=10, service_area_match_full=10, contactable=10, business_maturity=11, decision_maker_identified=10",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +11: Size signals indicate an established business. | decision_maker_identified +10: A decision-maker is legitimately available.,"Electrical specialization found: electric co, electrical contractor, electrician.","MEDIUM from 40 employees, 130 reviews, 15y in business",1.0,yes,Established electrical contractor.,fixture,https://example.com/rocky-mtn-electric,2026-08-13T06:07:38+00:00,1.0.0
front-range-industrial-electric-sample-denver,Front Range Industrial Electric (SAMPLE),yes,ELECTRICAL,QUALIFIED,81,MEDIUM,https://example.com/front-range-industrial,"Denver, CO, USA",commercial electrical; electrical contractor,,+1-303-555-0104,,,,"core_electrical_category=30, commercial_electrical=10, established_website=10, service_area_match_full=10, contactable=10, business_maturity=11",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | commercial_electrical +10: Offers commercial/industrial electrical services (higher-value work). | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +11: Size signals indicate an established business.,"Electrical specialization found: commercial electrical, electrical contractor.","MEDIUM from 60 employees, 75 reviews, 12y in business",0.857,yes,Commercial electrical contractor. No decision-maker legitimately available at research time.,fixture,https://example.com/front-range-industrial,2026-08-13T06:07:38+00:00,1.0.0
summit-electrical-subcontractors-sample-denver,Summit Electrical Subcontractors (SAMPLE),yes,ELECTRICAL,QUALIFIED,79,MEDIUM,https://example.com/summit-electrical-sub,"Denver, CO, USA",electrical subcontractor; commercial electrical,,+1-303-555-0107,bids@example.com,,,"core_electrical_category=30, commercial_electrical=10, established_website=10, service_area_match_full=10, contactable=10, business_maturity=9",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | commercial_electrical +10: Offers commercial/industrial electrical services (higher-value work). | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business.,"Electrical specialization found: commercial electrical, electrical subcontractor.","MEDIUM from 25 employees, 10y in business",0.857,yes,Electrical subcontractor for GCs. No decision-maker legitimately available at research time.,fixture,https://example.com/summit-electrical-sub,2026-08-13T06:07:38+00:00,1.0.0
sunwire-solar-electrical-sample-denver,SunWire Solar & Electrical (SAMPLE),yes,ELECTRICAL,QUALIFIED,74,MEDIUM,https://example.com/sunwire,"Denver, CO, USA",solar; electrical contractor; battery storage,,+1-303-555-0109,info@example.com,,,"core_electrical_category=30, established_website=10, service_area_match_full=10, contactable=10, business_maturity=9, relevant_indicators=5",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business. | relevant_indicators +5: Mentions relevant electrical work (panel/wiring/etc.).,Electrical specialization found: electrical contractor.,"MEDIUM from 30 employees, 50 reviews, 7y in business",0.857,yes,Solar company that is ALSO a licensed electrical contractor. No decision-maker legitimately available at research time.,fixture,https://example.com/sunwire,2026-08-13T06:07:38+00:00,1.0.0
colorado-solar-electric-sample-denver,Colorado Solar Electric (SAMPLE),yes,ELECTRICAL,QUALIFIED,74,MEDIUM,https://example.com/co-solar-electric,"Denver, CO, USA",solar; electrician,,+1-303-555-0110,info@example.com,,,"core_electrical_category=30, established_website=10, service_area_match_full=10, contactable=10, business_maturity=9, relevant_indicators=5",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business. | relevant_indicators +5: Mentions relevant electrical work (panel/wiring/etc.).,Electrical specialization found: electrician.,"MEDIUM from 40 reviews, 5y in business",0.857,yes,Solar + electrician. No decision-maker legitimately available at research time.,fixture,https://example.com/co-solar-electric,2026-08-13T06:07:38+00:00,1.0.0
aurora-residential-electricians-sample-aurora,Aurora Residential Electricians (SAMPLE),yes,ELECTRICAL,QUALIFIED,65,MEDIUM,https://example.com/aurora-residential,"Aurora, CO, USA",residential electrical; electrician,,+1-303-555-0105,info@example.com,,,"core_electrical_category=30, established_website=10, service_area_match_partial=6, contactable=10, business_maturity=9",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_partial +6: Partially matches the target service area. | contactable +10: At least one contact channel is available. | business_maturity +9: Size signals indicate an established business.,"Electrical specialization found: electrician, electricians, residential electrical.","MEDIUM from 60 reviews, 8y in business",0.857,yes,Residential electricians. No decision-maker legitimately available at research time.,fixture,https://example.com/aurora-residential,2026-08-13T06:07:38+00:00,1.0.0
peak-power-electrical-subcontractor-sample-denver,Peak Power Electrical Subcontractor (SAMPLE),yes,ELECTRICAL,QUALIFIED,63,LOW,https://example.com/peak-power-sub,"Denver, CO, USA",electrical subcontractor,,+1-303-555-0108,,,,"core_electrical_category=30, established_website=10, service_area_match_full=10, contactable=10, business_maturity=3",core_electrical_category +30: Business is categorized as an electrical contractor/electrician. | established_website +10: Has an established website. | service_area_match_full +10: Located in the target service area. | contactable +10: At least one contact channel is available. | business_maturity +3: Size signals indicate an established business.,Electrical specialization found: electrical subcontractor.,"LOW from 20 reviews, 4y in business",0.857,yes,Small electrical subcontractor. No decision-maker legitimately available at research time.,fixture,https://example.com/peak-power-sub,2026-08-13T06:07:38+00:00,1.0.0
